p80,p81,p82,p83
20702.105,2371.5789,806.3158,543.1579
20522.105,2351.5789,798.9474,538.9474
19567.37,2242.1052,762.1053,513.6842
18581.053,2129.4736,724.2105,487.3684
17865.264,2047.3684,695.7895,468.42105
17526.316,2008.421,683.1579,460
17470.525,2002.1052,681.0526,458.94736
17502.105,2005.2632,682.1053,458.94736
17843.158,2044.2106,694.7368,468.42105
18623.158,2133.6843,725.2632,488.42105
20049.475,2296.842,781.0526,526.3158
20702.105,2371.5789,806.3158,543.1579
20702.105,2371.5789,806.3158,543.1579
20702.105,2371.5789,806.3158,543.1579
20702.105,2371.5789,806.3158,543.1579
20702.105,2371.5789,806.3158,543.1579
20702.105,2371.5789,806.3158,543.1579
20702.105,2371.5789,806.3158,543.1579
20702.105,2371.5789,806.3158,543.1579
20702.105,2371.5789,806.3158,543.1579
20702.105,2371.5789,806.3158,543.1579
20702.105,2371.5789,806.3158,543.1579
20702.105,2371.5789,806.3158,543.1579
20702.105,2371.5789,806.3158,543.1579
20702.105,2371.5789,806.3158,543.1579
20702.105,2371.5789,806.3158,543.1579
20702.105,2371.5789,806.3158,543.1579
20005.264,2292.6316,778.9474,525.2632
19289.475,2210.5264,751.5789,506.3158
18914.736,2167.3684,736.8421,496.8421
18743.158,2147.3684,730.5263,491.57895
18732.63,2146.3157,729.4737,491.57895
18977.895,2174.7368,738.9474,497.89474
19603.158,2246.3157,763.1579,514.7368
20702.105,2371.5789,806.3158,543.1579
20702.105,2371.5789,806.3158,543.1579
20702.105,2371.5789,806.3158,543.1579
20702.105,2371.5789,806.3158,543.1579
20702.105,2371.5789,806.3158,543.1579
20702.105,2371.5789,806.3158,543.1579
20702.105,2371.5789,806.3158,543.1579
20702.105,2371.5789,806.3158,543.1579
20455.79,2344.2104,796.8421,536.8421
20256.842,2321.0527,789.4737,531.5789
20434.736,2341.0527,795.7895,536.8421
20702.105,2371.5789,806.3158,543.1579
20702.105,2371.5789,806.3158,543.1579
20702.105,2371.5789,806.3158,543.1579
20702.105,2371.5789,806.3158,543.1579
20696.842,2371.5789,806.3158,543.1579
19870.525,2276.842,773.6842,521.0526
18848.422,2160,734.7368,494.73685
17991.578,2061.0527,701.0526,472.6316
17355.79,1988.421,675.7895,455.78946
16946.316,1942.1052,660,445.26315
16724.21,1915.7894,651.5789,438.94736
16680,1911.579,649.4737,437.89474
16790.525,1924.2106,653.6842,441.05264
17209.475,1971.579,670.5263,451.57895
17624.21,2018.9474,686.3158,462.10526
18062.105,2069.4736,703.1579,473.6842
18297.895,2096.842,712.6316,480
18347.37,2102.1052,714.7368,481.05264
18161.053,2081.0527,707.3684,476.8421
17788.422,2037.8948,692.6316,467.3684
17453.684,2000,680,457.89474
17185.264,1969.4736,669.4737,450.5263
16945.264,1941.0526,660,445.26315
17166.316,1966.3158,668.4211,450.5263
17903.158,2050.5264,697.8947,469.4737
18152.63,2080,707.3684,476.8421
18021.053,2065.2632,702.1053,472.6316
17655.79,2023.1578,687.3684,463.1579
17210.525,1971.579,670.5263,451.57895
16541.053,1894.7368,644.2105,433.6842
15814.737,1811.579,615.7895,414.73685
15288.421,1751.579,595.7895,401.05264
14931.579,1710.5264,582.1053,391.57895
14685.263,1682.1052,571.5789,385.26315
14513.685,1663.1578,565.2632,381.05264
14546.315,1666.3158,566.3158,382.10526
14737.895,1688.421,573.6842,386.3158
15120,1732.6316,589.4737,396.8421
